year,series,value
1950,population_mn,2493
1955,population_mn,2746
1960,population_mn,3019
1965,population_mn,3322
1970,population_mn,3695
1975,population_mn,4070
1980,population_mn,4444
1985,population_mn,4861
1990,population_mn,5316
1995,population_mn,5744
2000,population_mn,6149
2005,population_mn,6558
2010,population_mn,6986
2015,population_mn,7427
2020,population_mn,7841
1950,gdp_bn2011ppp,9250
1955,gdp_bn2011ppp,11400
1960,gdp_bn2011ppp,13700
1965,gdp_bn2011ppp,17100
1970,gdp_bn2011ppp,21300
1975,gdp_bn2011ppp,25400
1980,gdp_bn2011ppp,30000
1985,gdp_bn2011ppp,34000
1990,gdp_bn2011ppp,40000
1995,gdp_bn2011ppp,45500
2000,gdp_bn2011ppp,53000
2005,gdp_bn2011ppp,62500
2010,gdp_bn2011ppp,73000
2015,gdp_bn2011ppp,85000
2020,gdp_bn2011ppp,92000
1950,primary_energy_ej,79
1955,primary_energy_ej,98
1960,primary_energy_ej,128
1965,primary_energy_ej,159
1970,primary_energy_ej,198
1975,primary_energy_ej,228
1980,primary_energy_ej,259
1985,primary_energy_ej,283
1990,primary_energy_ej,320
1995,primary_energy_ej,340
2000,primary_energy_ej,375
2005,primary_energy_ej,431
2010,primary_energy_ej,478
2015,primary_energy_ej,528
2020,primary_energy_ej,557
1950,co2_emissions_gtco2,6.0
1955,co2_emissions_gtco2,7.6
1960,co2_emissions_gtco2,9.4
1965,co2_emissions_gtco2,11.5
1970,co2_emissions_gtco2,14.9
1975,co2_emissions_gtco2,17.0
1980,co2_emissions_gtco2,19.5
1985,co2_emissions_gtco2,19.9
1990,co2_emissions_gtco2,22.7
1995,co2_emissions_gtco2,23.5
2000,co2_emissions_gtco2,25.5
2005,co2_emissions_gtco2,29.9
2010,co2_emissions_gtco2,33.3
2015,co2_emissions_gtco2,35.5
2020,co2_emissions_gtco2,35.0
1950,co2_ppm,311.3
1955,co2_ppm,313.6
1960,co2_ppm,316.9
1965,co2_ppm,320.0
1970,co2_ppm,325.7
1975,co2_ppm,331.1
1980,co2_ppm,338.8
1985,co2_ppm,346.0
1990,co2_ppm,354.4
1995,co2_ppm,360.8
2000,co2_ppm,369.5
2005,co2_ppm,379.8
2010,co2_ppm,389.9
2015,co2_ppm,400.8
2020,co2_ppm,414.2
1950,working_age_share_pct,60.5
1955,working_age_share_pct,59.6
1960,working_age_share_pct,58.5
1965,working_age_share_pct,57.4
1970,working_age_share_pct,56.9
1975,working_age_share_pct,57.3
1980,working_age_share_pct,58.4
1985,working_age_share_pct,59.6
1990,working_age_share_pct,60.9
1995,working_age_share_pct,61.7
2000,working_age_share_pct,62.9
2005,working_age_share_pct,64.1
2010,working_age_share_pct,65.2
2015,working_age_share_pct,65.5
2020,working_age_share_pct,65.1
1950,old_age_share_pct,5.1
1955,old_age_share_pct,5.2
1960,old_age_share_pct,5.3
1965,old_age_share_pct,5.4
1970,old_age_share_pct,5.5
1975,old_age_share_pct,5.7
1980,old_age_share_pct,5.9
1985,old_age_share_pct,6.0
1990,old_age_share_pct,6.2
1995,old_age_share_pct,6.5
2000,old_age_share_pct,6.9
2005,old_age_share_pct,7.3
2010,old_age_share_pct,7.6
2015,old_age_share_pct,8.3
2020,old_age_share_pct,9.3
1950,lowcarbon_share_pct,3.0
1955,lowcarbon_share_pct,3.5
1960,lowcarbon_share_pct,4.2
1965,lowcarbon_share_pct,5.2
1970,lowcarbon_share_pct,5.8
1975,lowcarbon_share_pct,6.5
1980,lowcarbon_share_pct,7.6
1985,lowcarbon_share_pct,9.8
1990,lowcarbon_share_pct,11.3
1995,lowcarbon_share_pct,11.8
2000,lowcarbon_share_pct,12.4
2005,lowcarbon_share_pct,12.3
2010,lowcarbon_share_pct,12.6
2015,lowcarbon_share_pct,13.7
2020,lowcarbon_share_pct,16.4
